window_size,dp_v,dp_v3,J
1,-1.05,-0.2,0.7207682666822857
1,-1.05,-0.15,0.6874140265573442
1,-1.05,-0.1,0.6516694019006947
1,-1.05,-0.05,0.6132466448978803
1,-1.05,0.0,0.5718267125540752
1,-1.05,0.05,0.5270738631976475
1,-1.05,0.1,0.4786801890715081
1,-1.05,0.15,0.42648734903788077
1,-1.05,0.2,0.3708202645326421
1,-1.05,0.25,0.31346754653166575
1,-1.05,0.3,0.26099501281121995
1,-1.05,0.35,0.23931851769795925
1,-1.05,0.4,0.40714402380563336
1,-1.05,0.45,1000.0
1,-1.05,0.5,1000.0
1,-1.05,0.55,1000.0
1,-1.05,0.6,1000.0
1,-1.05,0.65,1000.0
1,-1.05,0.7,1000.0
1,-1.05,0.75,1000.0
1,-1.05,0.8,1000.0
1,-1.05,0.85,1000.0
1,-1.05,0.9,1000.0
1,-1.05,0.95,1000.0
1,-1.05,1.0,1000.0
1,-1.05,1.05,1000.0
1,-1.05,1.1,1000.0
1,-1.05,1.15,1000.0
1,-1.05,1.2,1000.0
1,-1.05,1.25,1000.0
1,-1.05,1.3,1000.0
1,-1.05,1.35,1000.0
1,-1.05,1.4,1000.0
1,-1.05,1.45,1000.0
1,-1.05,1.5,1000.0
1,-1.0,-1.5,1.161724650648114
1,-1.0,-1.45,1.1509303580956998
1,-1.0,-1.4,1.1397602523724688
1,-1.0,-1.35,1.1282035568622408
1,-1.0,-1.3,1.1162457595286286
1,-1.0,-1.25,1.103869923780179
1,-1.0,-1.2,1.0910570445937338
1,-1.0,-1.15,1.0777860438021942
1,-1.0,-1.1,1.06403360437161
1,-1.0,-1.05,1.0497739145974274
1,-1.0,-1.0,1.0349783497905574
1,-1.0,-0.95,1.019615102487762
1,-1.0,-0.9,1.0036487640461462
1,-1.0,-0.85,0.9870398547932531
1,-1.0,-0.8,0.9697442949175713
1,-1.0,-0.75,0.951712803565708
1,-1.0,-0.7,0.9328902091036035
1,-1.0,-0.65,0.9132146491671648
1,-1.0,-0.6,0.892616634891248
1,-1.0,-0.55,0.8710179494978173
1,-1.0,-0.5,0.8483303473420533
1,-1.0,-0.45,0.8244540160697319
1,-1.0,-0.4,0.7992757630944574
1,-1.0,-0.35,0.7726668912309557
1,-1.0,-0.3,0.7444807435400487
1,-1.0,-0.25,0.7145499378821056
1,-1.0,-0.2,0.6826834059999004
1,-1.0,-0.15,0.6486635615493866
1,-1.0,-0.1,0.6122443815993163
1,-1.0,-0.05,0.5731522058430347
1,-1.0,0.0,0.5310933774373978
1,-1.0,0.05,0.4857783479018858
1,-1.0,0.1,0.43698567077646117
1,-1.0,0.15,0.3847267207762123
1,-1.0,0.2,0.3296843735120255
1,-1.0,0.25,0.2744878567462429
1,-1.0,0.3,0.2280391316712636
1,-1.0,0.35,0.22499827961045418
1,-1.0,0.4,0.4928444380985162
1,-1.0,0.45,1000.0
1,-1.0,0.5,1000.0
1,-1.0,0.55,1000.0
1,-1.0,0.6,1000.0
1,-1.0,0.65,1000.0
1,-1.0,0.7,1000.0
1,-1.0,0.75,1000.0
1,-1.0,0.8,1000.0
1,-1.0,0.85,1000.0
1,-1.0,0.9,1000.0
1,-1.0,0.95,1000.0
1,-1.0,1.0,1000.0
1,-1.0,1.05,1000.0
1,-1.0,1.1,1000.0
1,-1.0,1.15,1000.0
1,-1.0,1.2,1000.0
1,-1.0,1.25,1000.0
1,-1.0,1.3,1000.0
1,-1.0,1.35,1000.0
1,-1.0,1.4,1000.0
1,-1.0,1.45,1000.0
1,-1.0,1.5,1000.0
1,-0.95,-1.5,1.1347093094924021
1,-0.95,-1.45,1.1236291905897888
1,-0.95,-1.4,1.1121685245473933
1,-0.95,-1.35,1.1003156383027504
1,-0.95,-1.3,1.0880553833368296
1,-0.95,-1.25,1.0753702585669982
1,-0.95,-1.2,1.0622407002072667
1,-0.95,-1.15,1.048645051085556
1,-0.95,-1.1,1.0345593835046947
1,-0.95,-1.05,1.0199572382484914
1,-0.95,-1.0,1.0048093043019497
1,-0.95,-0.95,0.9890830490405322
1,-0.95,-0.9,0.972742301115993
1,-0.95,-0.85,0.9557467829326626
1,-0.95,-0.8,0.9380515849406295
1,-0.95,-0.75,0.9196065696272189
1,-0.95,-0.7,0.9003556890507279
1,-0.95,-0.65,0.8802361960467955
1,-0.95,-0.6,0.8591777258530574
1,-0.95,-0.55,0.837101221928221
1,-0.95,-0.5,0.81391767754606
1,-0.95,-0.45,0.789526664274922
1,-0.95,-0.4,0.7638146218308403
1,-0.95,-0.35,0.7366528954217892
1,-0.95,-0.3,0.7078955355190705
1,-0.95,-0.25,0.6773769391551984
1,-0.95,-0.2,0.6449095487938525
1,-0.95,-0.15,0.6102821136339015
1,-0.95,-0.1,0.5732596314285754
1,-0.95,-0.05,0.5335874183784745
1,-0.95,0.0,0.4910047355164151
1,-0.95,0.05,0.445280403238984
1,-0.95,0.1,0.39630033964476136
1,-0.95,0.15,0.34428440390559245
1,-0.95,0.2,0.2903531292140644
1,-0.95,0.25,0.23816576211679252
1,-0.95,0.3,0.1995220469819208
1,-0.95,0.35,0.22029845804877707
1,-0.95,0.4,0.6291926993207276
1,-0.95,0.45,1000.0
1,-0.95,0.5,1000.0
1,-0.95,0.55,1000.0
1,-0.95,0.6,1000.0
1,-0.95,0.65,1000.0
1,-0.95,0.7,1000.0
1,-0.95,0.75,1000.0
1,-0.95,0.8,1000.0
1,-0.95,0.85,1000.0
1,-0.95,0.9,1000.0
1,-0.95,0.95,1000.0
1,-0.95,1.0,1000.0
1,-0.95,1.05,1000.0
1,-0.95,1.1,1000.0
1,-0.95,1.15,1000.0
1,-0.95,1.2,1000.0
1,-0.95,1.25,1000.0
1,-0.95,1.3,1000.0
1,-0.95,1.35,1000.0
1,-0.95,1.4,1000.0
